Value of Chevyshev Polynomials

x	To(x)		T1(x)		T2(x)		T3(x)		T4(x)		T5(x)	
-1	1		-1		1		-1		1		-1		
-0.9	1		-0.9		0.62		-0.216		-0.231		0.632		
-0.8	1		-0.8		0.28		0.352		-0.843		0.997		
-0.7	1		-0.7		-0.02		0.728		-0.999		0.671		
-0.6	1		-0.6		-0.28		0.936		-0.843		0.0758		
-0.5	1		-0.5		-0.5		1		-0.5		-0.5		
-0.4	1		-0.4		-0.68		0.944		-0.0752		-0.884		
-0.3	1		-0.3		-0.82		0.792		0.345		-0.999		
-0.2	1		-0.2		-0.92		0.568		0.693		-0.845		
-0.1	1		-0.1		-0.98		0.296		0.921		-0.48		
0	1		0		-1		-0		1		0		
0.1	1		0.1		-0.98		-0.296		0.921		0.48		
0.2	1		0.2		-0.92		-0.568		0.693		0.845		
0.3	1		0.3		-0.82		-0.792		0.345		0.999		
0.4	1		0.4		-0.68		-0.944		-0.0752		0.884		
0.5	1		0.5		-0.5		-1		-0.5		0.5		
0.6	1		0.6		-0.28		-0.936		-0.843		-0.0758		
0.7	1		0.7		-0.02		-0.728		-0.999		-0.671		
0.8	1		0.8		0.28		-0.352		-0.843		-0.997		
0.9	1		0.9		0.62		0.216		-0.231		-0.632		
1	1		1		1		1		1		1		


Value of Legendre Polynomials

x	Po(x)		P1(x)		P2(x)		P3(x)		P4(x)		P5(x)	
-1	1		-1		1		-1		1		-1		
-0.9	1		-0.9		0.715		-0.472		0.208		0.0411		
-0.8	1		-0.8		0.46		-0.08		-0.233		0.4		
-0.7	1		-0.7		0.235		0.193		-0.412		0.365		
-0.6	1		-0.6		0.04		0.36		-0.408		0.153		
-0.5	1		-0.5		-0.125		0.438		-0.289		-0.0898		
-0.4	1		-0.4		-0.26		0.44		-0.113		-0.271		
-0.3	1		-0.3		-0.365		0.383		0.0729		-0.345		
-0.2	1		-0.2		-0.44		0.28		0.232		-0.308		
-0.1	1		-0.1		-0.485		0.147		0.338		-0.179		
0	1		0		-0.5		-0		0.375		0		
0.1	1		0.1		-0.485		-0.147		0.338		0.179		
0.2	1		0.2		-0.44		-0.28		0.232		0.308		
0.3	1		0.3		-0.365		-0.383		0.0729		0.345		
0.4	1		0.4		-0.26		-0.44		-0.113		0.271		
0.5	1		0.5		-0.125		-0.438		-0.289		0.0898		
0.6	1		0.6		0.04		-0.36		-0.408		-0.153		
0.7	1		0.7		0.235		-0.193		-0.412		-0.365		
0.8	1		0.8		0.46		0.08		-0.233		-0.4		
0.9	1		0.9		0.715		0.472		0.208		-0.0411		
1	1		1		1		1		1		1		
